ASIN,URL,FULL_URL,TITLE,Tag 2,Tag 1,Tag 3,RATING,LENGTH,MRP,SELLING_PRICE,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,DESCRIPTION
B08BYSNY8G,https://www.amazon.in/dp/B08BYSNY8G,https://www.amazon.in/Mindfuels-Interactive-Activity-Assignment-interactive/dp/B08BYSNY8G/ref=sr_1_56,Activity book for Children | Age 3 yr+ | Interactive practice exercise book,All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",4.6,N/A,295,295,https://m.media-amazon.com/images/I/51WPpM6bBJL.jpg,https://m.media-amazon.com/images/I/41hEZgc56TL.jpg,https://m.media-amazon.com/images/I/41PgDTBmfpL.jpg,https://m.media-amazon.com/images/I/51uAl7Ua3CL.jpg,https://m.media-amazon.com/images/I/41rXqEB3LkL.jpg,https://m.media-amazon.com/images/I/51-wzPO-GvL.jpg,https://m.media-amazon.com/images/I/419Dj2C1yWL.jpg,"Interactive Activity book and Practice Assignment Book for Children and Young Minds (Age Group |3 years and above)| interactive practice exercise book', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08JV8FKTW,https://www.amazon.in/dp/B08JV8FKTW,https://www.amazon.in/Mindfuels-Alphabet-Number-Book-Year/dp/B08JV8FKTW/ref=sr_1_185,"My Alphabet And Number Book | For 3 to 5 Year Kids | Alphabet & Number Books for Kids, Activity book for kids, learning books for kindergardten kids",All-Subject Activity Books,Shop By Interest,Kindergarten Years (U.K.G &  L.K.G),5,N/A,225,225,https://m.media-amazon.com/images/I/51N3qJHDg+L.jpg,https://m.media-amazon.com/images/I/51GE5C1YYoL.jpg,https://m.media-amazon.com/images/I/510omL3-ijL.jpg,https://m.media-amazon.com/images/I/31XtlRT+XML.jpg,https://m.media-amazon.com/images/I/3106FUYWQUL.jpg,https://m.media-amazon.com/images/I/31c3pl+ay0L.jpg,https://m.media-amazon.com/images/I/41Mv54yVtxL.jpg,"My Alphabet And Number Book For 3|5 Year Kids | Alphabet & Number Books for Kids, Activity book for kids, learning books for kinder garden kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08P3FYZJH,https://www.amazon.in/dp/B08P3FYZJH,https://www.amazon.in/Mindfuels-Practice-Assignment-book-Matching-skills-Interactive/dp/B08P3FYZJH/ref=sr_1_93,Practice Assignment book|Matching skills|Interactive Activity book for children,All-Subject Activity Books,Shop By Interest,"Early Foundation (Pre Nursery & Nursery), Kindergarten Years (U.K.G &  L.K.G)",4.2,N/A,295,295,https://m.media-amazon.com/images/I/51m8-4bWrUS.jpg,https://m.media-amazon.com/images/I/41BC+Z5j5yL.jpg,https://m.media-amazon.com/images/I/41VGNg3XuaL.jpg,https://m.media-amazon.com/images/I/41azd3MMxLL.jpg,https://m.media-amazon.com/images/I/41k45rMB1wL.jpg,https://m.media-amazon.com/images/I/51+Rhld-5lL.jpg,,"Practice Assignment book|Matching skills|Interactive Activity book for children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08BYFCQZN,https://www.amazon.in/dp/B08BYFCQZN,https://www.amazon.in/Mindfuels-Practice-Assignments-Book-Preschoolers/dp/B08BYFCQZN/ref=sr_1_131,Practice Assignments Book (1 | 20) Writing & Activity Includes Pictures and Activities for Preschoolers | fun Activity & colouring book for kids,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),4.6,N/A,295,295,https://m.media-amazon.com/images/I/51uAj5+Lx4L.jpg,https://m.media-amazon.com/images/I/41qKoqMP7PL.jpg,https://m.media-amazon.com/images/I/41+PxCb1VRL.jpg,https://m.media-amazon.com/images/I/41GyGYdlG4L.jpg,https://m.media-amazon.com/images/I/41vFoG+WLUL.jpg,https://m.media-amazon.com/images/I/51sJ7i1-jaL.jpg,https://m.media-amazon.com/images/I/410jFEG2d7L.jpg,"Practice Assignments Book (1 | 20) Writing & Activity Includes Pictures and Activities for Preschoolers | fun Activity & colouring book for kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08BYRMFN2,https://www.amazon.in/dp/B08BYRMFN2,https://www.amazon.in/Mindfuels-Interactive-Activity-Assignment-Enhancing/dp/B08BYRMFN2/ref=sr_1_112,Interactive Activity 5+ Practice Assignment Book to Keep Children and Young Minds Engaged In Enhancing Problem Solving Skills | activity book for young kids,All-Subject Activity Books,Shop By Interest,Kindergarten Years (U.K.G &  L.K.G),5,N/A,295,295,https://m.media-amazon.com/images/I/51fIdrgPjEL.jpg,https://m.media-amazon.com/images/I/41TZum8CR7L.jpg,https://m.media-amazon.com/images/I/41Q8KU50PpL.jpg,https://m.media-amazon.com/images/I/41QoyA835XL.jpg,https://m.media-amazon.com/images/I/516-sgRdHjL.jpg,https://m.media-amazon.com/images/I/41b6C9G9uFL.jpg,https://m.media-amazon.com/images/I/51rCehrieVL.jpg,"Interactive Activity 5+ Practice Assignment Book to Keep Children and Young Minds Engaged In Enhancing Problem Solving Skills | activity book for young kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B0995Q398F,https://www.amazon.in/dp/B0995Q398F,https://www.amazon.in/Mindfuels-Handwriting-Print-Script-Sentence/dp/B0995Q398F/ref=sr_1_108,Handwriting Print Script | Easy Sentence| Practice Workbook,All-Subject Activity Books,Shop By Interest,"Kindergarten Years (U.K.G &  L.K.G), Lower Primary (Class 1 & 2), Early Foundation (Pre Nursery & Nursery)",5,61 pages,295,295,https://m.media-amazon.com/images/I/51cba1FpG4S.jpg,https://m.media-amazon.com/images/I/41OYl08gCAS.jpg,https://m.media-amazon.com/images/I/41+IcsxgM7S.jpg,https://m.media-amazon.com/images/I/41vI0zl5QGS.jpg,https://m.media-amazon.com/images/I/41NLW3+XzUS.jpg,https://m.media-amazon.com/images/I/41Y+OIZaHOS.jpg,,"Handwriting Print Script | Easy Sentence| Practice Workbook', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08NCGKCQG,https://www.amazon.in/dp/B08NCGKCQG,https://www.amazon.in/numbers-1-20-Activity-book-kids/dp/B08NCGKCQG/ref=sr_1_60,Fun with numbers | 1 to 20 Activity book for kids,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),3.4,N/A,195,195,https://m.media-amazon.com/images/I/51IGiVeXIsL.jpg,https://m.media-amazon.com/images/I/51fZyyWO6RL.jpg,https://m.media-amazon.com/images/I/51xXvS0NeiL.jpg,https://m.media-amazon.com/images/I/41ABA5-nsgL.jpg,https://m.media-amazon.com/images/I/51gVh5-jJwL.jpg,https://m.media-amazon.com/images/I/514ZnI8bphL.jpg,https://m.media-amazon.com/images/I/51fEiSOmRBL.jpg,"Fun with numbers 1|20 Activity book for kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B08BYGNJJ9,https://www.amazon.in/dp/B08BYGNJJ9,https://www.amazon.in/Mindfuels-All-Writing-Activity-Preschoolers/dp/B08BYGNJJ9/ref=sr_1_95,Practice Assignments Book | Counting 1 to 50 | Includes Colourful Pictures and Activities for Preschoolers | Age 2 to 6,All-Subject Activity Books,Shop By Interest,"Kindergarten Years (U.K.G &  L.K.G), Early Foundation (Pre Nursery & Nursery)",5,N/A,294,294,https://m.media-amazon.com/images/I/51DtHDXNbSL.jpg,https://m.media-amazon.com/images/I/513XPCyiTAL.jpg,https://m.media-amazon.com/images/I/51pT6LJmVBL.jpg,https://m.media-amazon.com/images/I/51nb1g+Lf8L.jpg,https://m.media-amazon.com/images/I/41hl550hGzL.jpg,https://m.media-amazon.com/images/I/51B9IO2XK5L.jpg,https://m.media-amazon.com/images/I/51Uowz7yi6L.jpg,"All in One Writing & Activity (1 | 50) Practice Assignments Book Includes Colourful Pictures and Activities for Preschoolers| colourful exercise book and Activity book', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
B099FCG4HG,https://www.amazon.in/dp/B099FCG4HG,https://www.amazon.in/Mindfuels-Practice-Assignment-book-Opposite-children/dp/B099FCG4HG/ref=sr_1_97,Practice Assignment book|Opposite book for children,All-Subject Activity Books,Shop By Interest,Early Foundation (Pre Nursery & Nursery),4,61 pages,294,294,https://m.media-amazon.com/images/I/51Rp1Ph-r-S.jpg,https://m.media-amazon.com/images/I/41IrPRr4t7S.jpg,https://m.media-amazon.com/images/I/417olujbdpS.jpg,https://m.media-amazon.com/images/I/51vv17isW8S.jpg,https://m.media-amazon.com/images/I/41XZOdTuauS.jpg,https://m.media-amazon.com/images/I/41DpsgCtCgS.jpg,https://m.media-amazon.com/images/I/517rAM0KHFS.jpg,"Practice Assignment book|Opposite book for children', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
9385198270,https://www.amazon.in/dp/9385198270,https://www.amazon.in/Mindfuels-Writing-Practice-Activity-Nursery/dp/9385198270/ref=sr_1_99,My Big Book of Small abc| Writing Practice & Activity Book for Nursery kids,All-Subject Activity Books,Shop By Interest,Kindergarten Years (U.K.G &  L.K.G),5,N/A,299,299,https://m.media-amazon.com/images/I/51REesovrML.jpg,https://m.media-amazon.com/images/I/51ywuaW1nPL.jpg,https://m.media-amazon.com/images/I/51ZP7MnAmJL.jpg,https://m.media-amazon.com/images/I/51986QhBGpL.jpg,https://m.media-amazon.com/images/I/51HZgD5fHZL.jpg,https://m.media-amazon.com/images/I/41lELX51tzL.jpg,https://m.media-amazon.com/images/I/51d7QR8-CJL.jpg,"My Big Book of Small abc| Writing Practice & Activity Book for Nursery kids', an essential educational workbook. Carefully structured to boost comprehension and retention, it provides excellent practice material for students aiming to excel in their studies."
